source,business_id,place_id,name,channel,business_category,distributor_type,is_distributor,distributor_potential,is_chain,address,latitude,longitude,phone_number,international_phone,website,business_status,rating,user_ratings_total,distance_from_plant_km,priority_score,estimated_monthly_water_liters,estimated_monthly_water_revenue,google_maps_url,crawled_at,plant,bearing,direction,distance_band,zone,cluster,has_phone,sales_officer,officer_mobile,cluster_id,distance_range,sector
Google Places API,GOOGLE_ChIJ5W5-IG9FrjsRS0jQz6cZeLQ,ChIJ5W5-IG9FrjsRS0jQz6cZeLQ,AgniTeja Farm Stay,lodging,HoReCa,Retailer,No,High,No,"232, Kanakapura Road, Hosur post, Managanahalli",12.7304316,77.4643963,091108 49405,+91 91108 49405,Not Available,OPERATIONAL,4.7,899,6.14,15.3,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJ5W5-IG9FrjsRS0jQz6cZeLQ,2025-10-25 14:47:27,Harohalli,22.72127243,NorthEast,Inner,,Cluster1,Yes,Khadeer ali,9008436667,Cluster1,0-10 KM,1
Google Places API,GOOGLE_ChIJrcwzXTlFrjsRLx4gCqGvyWw,ChIJrcwzXTlFrjsRLx4gCqGvyWw,SAM Eden Resort,lodging,HoReCa,Retailer,No,High,No,"near Art of Living, 86/3, Kanakapura Road, Hosur Village, Karikaldoddi",12.7431119,77.4606033,099164 33339,+91 99164 33339,https://samedenresort.in/,OPERATIONAL,4.6,547,7.34,15.3,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJrcwzXTlFrjsRLx4gCqGvyWw,2025-10-25 14:47:27,Harohalli,15.48357877,North,Inner,,Cluster1,Yes,Khadeer ali,9008436667,Cluster1,0-10 KM,1
Google Places API,GOOGLE_ChIJM-rqGH9DrjsRX_Fw4uq6QVo,ChIJM-rqGH9DrjsRX_Fw4uq6QVo,The Odyssey Retreat Resort,lodging,HoReCa,Retailer,No,High,No,"Sy.No.92/1, 92/2, 92/3, Edamadu Village Kanakapura Road, cross, Kaggalahalli",12.7243937,77.4967763,070650 02340,+91 70650 02340,http://odysseyretreat.in/,OPERATIONAL,4.6,12439,7.71,15.3,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJM-rqGH9DrjsRX_Fw4uq6QVo,2025-10-25 14:47:33,Harohalli,49.69937666,NorthEast,Inner,,Cluster2,Yes,Khadeer ali,9008436667,Cluster2,0-10 KM,2
Google Places API,GOOGLE_ChIJGx1ZM9RDrjsRLx1zmiWoWL4,ChIJGx1ZM9RDrjsRLx1zmiWoWL4,Krishi Farms,lodging,HoReCa,Retailer,No,High,No,Edumadu,12.7332919,77.4881691,099720 70624,+91 99720 70624,https://instagram.com/krishi__farms?igshid=YmMyMTA2M2Y=,OPERATIONAL,4.6,808,7.76,15.3,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJGx1ZM9RDrjsRLx1zmiWoWL4,2025-10-25 14:47:33,Harohalli,39.61742896,NorthEast,Inner,,Cluster2,Yes,Khadeer ali,9008436667,Cluster2,0-10 KM,2
Google Places API,GOOGLE_ChIJh4PDHpFbrjsRFMVd1rSFJIs,ChIJh4PDHpFbrjsRFMVd1rSFJIs,Putamma Flower Shop,supermarket,Retail,Retailer,No,High,No,"12, 1st Main 1st Cross, Harohalli",12.6799681,77.469446,082774 82757,+91 82774 82757,Not Available,OPERATIONAL,0,0,2.92,15,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJh4PDHpFbrjsRFMVd1rSFJIs,2025-10-25 12:36:16,Harohalli,89.05874091,East,Inner,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJdUNJpKlcrjsRtbZMN4J69m0,ChIJdUNJpKlcrjsRtbZMN4J69m0,Dhanlakshmi provision store,supermarket,Retail,Retailer,No,High,No,Marsandra Road near nadkacheri office Harohalli kankpura Ramnagara,12.6826892,77.4741494,095351 56168,+91 95351 56168,Not Available,OPERATIONAL,3.8,59,3.45,15,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJdUNJpKlcrjsRtbZMN4J69m0,2025-10-25 12:36:16,Harohalli,84.16122117,East,Inner,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJZe6gGBFDrjsRnaZsPusA_ic,ChIJZe6gGBFDrjsRnaZsPusA_ic,RAJU STORE,supermarket,Retail,Retailer,No,High,No,"Shop No 1, opp. Dipo, Kanakapura",12.7236567,77.4786661,099943 53245,+91 99943 53245,Not Available,OPERATIONAL,0,0,6.28,15,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJZe6gGBFDrjsRnaZsPusA_ic,2025-10-25 12:36:20,Harohalli,38.60829527,NorthEast,Inner,,Cluster2,Yes,Khadeer ali,9008436667,Cluster2,0-10 KM,2
Google Places API,GOOGLE_ChIJfUbkf0BbrjsRGtOrrQlpjq0,ChIJfUbkf0BbrjsRGtOrrQlpjq0,TDPV PLAZA,shopping_mall,Retail,Retailer,No,Very High,No,"JCMJ+9M6, near BP petrol pump, Kanakapura Main Road, Maralawadi Hobli, Kanakapura",12.633421,77.4316403,Not Available,Not Available,Not Available,OPERATIONAL,3.7,6,5.26,15,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJfUbkf0BbrjsRGtOrrQlpjq0,2025-10-25 12:54:47,Harohalli,192.9954757,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJq2z8Iq9brjsRNl93QTgLBcE,ChIJq2z8Iq9brjsRNl93QTgLBcE,Likitha Developers & Builders,shopping_mall,Retail,Retailer,No,Very High,No,"JCPM+M9H, opposite to jain international school, Kanakapura Main Road, Malavalli",12.6366811,77.4334709,089047 31356,+91 89047 31356,Not Available,OPERATIONAL,3.1,15,4.87,15,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJq2z8Iq9brjsRNl93QTgLBcE,2025-10-25 12:54:47,Harohalli,191.6762437,South,Inner,,Cluster8,Yes,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJfdAL8x1brjsRsaXao1QS3Dw,ChIJfdAL8x1brjsRsaXao1QS3Dw,Annaiah Store,shopping_mall,Retail,Retailer,No,Very High,No,"near Jain college, Yadavanahalli, near Jain college, Kanakapura Main Road",12.6405442,77.4360959,Not Available,Not Available,Not Available,CLOSED_TEMPORARILY,0,0,4.39,15,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJfdAL8x1brjsRsaXao1QS3Dw,2025-10-25 12:54:47,Harohalli,189.170752,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJmVGTIwBbrjsRelsd1JQXh-I,ChIJmVGTIwBbrjsRelsd1JQXh-I,Veerabhdraswamy provition store,shopping_mall,Retail,Retailer,No,Very High,No,"JFP5+2JW, T.Hosahalli",12.635116,77.4590773,Not Available,Not Available,Not Available,CLOSED_TEMPORARILY,0,0,5.26,15,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJmVGTIwBbrjsRelsd1JQXh-I,2025-10-25 12:54:47,Harohalli,160.0441025,South,Inner,,Cluster7,No,Srikantha B N,9738258828,Cluster7,0-10 KM,7
Google Places API,GOOGLE_ChIJARi89WVbrjsRUwwhqXu9R2g,ChIJARi89WVbrjsRUwwhqXu9R2g,Srs cyber centre xerox,shopping_mall,Retail,Retailer,No,Very High,No,"Harohalli industries area, Bannikuppe",12.6517109,77.4271665,Not Available,Not Available,Not Available,OPERATIONAL,0,0,3.52,15,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJARi89WVbrjsRUwwhqXu9R2g,2025-10-25 12:54:48,Harohalli,208.3387242,SouthWest,Inner,,Cluster9,No,Rajshekhar J,9019937913,Cluster9,0-10 KM,9
Google Places API,GOOGLE_ChIJsy_HSrddrjsRk6ho4o_-vFE,ChIJsy_HSrddrjsRk6ho4o_-vFE,Basaveshwara Providion stor and Flores mil,shopping_mall,Retail,Retailer,No,Very High,No,"Maralvadi, Thokasandra villege maralavadi hobali harohalli thaluk",12.6815831,77.4731876,098864 57067,+91 98864 57067,Not Available,CLOSED_TEMPORARILY,0,0,3.33,15,10000,5000,https://www.google.com/maps/place/?q=place_id:ChIJsy_HSrddrjsRk6ho4o_-vFE,2025-10-25 12:54:54,Harohalli,86.08344249,East,Inner,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,0-10 KM,4
Google Places API,GOOGLE_ChIJIxEqNwBbrjsRsXtbagqwhlc,ChIJIxEqNwBbrjsRsXtbagqwhlc,Pride Heritage Hotel,restaurant,HoReCa,Retailer,No,High,No,"Kanakapura Main Road, Bannikuppe",12.6522641,77.4405521,Not Available,Not Available,Not Available,OPERATIONAL,4.7,190,3.04,14.9,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJIxEqNwBbrjsRsXtbagqwhlc,2025-10-25 14:02:23,Harohalli,184.0830876,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJw2SNiahcrjsRr_HiVbkDaFY,ChIJw2SNiahcrjsRr_HiVbkDaFY,Soul Nest at Pyramid Valley,restaurant,HoReCa,Retailer,No,High,No,"Pyramid Valley International, Kebbedoddi Village, Kanakapura Main Road, Harohalli",12.6960105,77.4951708,099862 10108,+91 99862 10108,https://bit.ly/3UStySG,OPERATIONAL,4.5,104,6,14.9,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJw2SNiahcrjsRr_HiVbkDaFY,2025-10-25 14:03:07,Harohalli,72.20507843,East,Inner,,Cluster3,Yes,Khadeer ali,9008436667,Cluster3,0-10 KM,3
Google Places API,GOOGLE_ChIJUcd_rXJDrjsRpa1UBT68gOo,ChIJUcd_rXJDrjsRpa1UBT68gOo,Doddanna Farm,lodging,HoReCa,Retailer,No,High,No,"MGX2+5MC, kebbedoddi village, kaggalahalli Post, harohalli Hobli, Kanakapura talok",12.6979489,77.5016527,Not Available,Not Available,Not Available,OPERATIONAL,4.7,108,6.73,14.9,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJUcd_rXJDrjsRpa1UBT68gOo,2025-10-25 14:47:02,Harohalli,72.28593621,East,Inner,,Cluster3,No,Khadeer ali,9008436667,Cluster3,0-10 KM,3
Google Places API,GOOGLE_ChIJOyfsyzdDrjsRvdyHkR74Yqs,ChIJOyfsyzdDrjsRvdyHkR74Yqs,Dormitories @ Pyramid Valley,lodging,HoReCa,Retailer,No,High,No,PF2V+4P2,12.7002651,77.4942756,Not Available,Not Available,http://pyramidvalley.org/,OPERATIONAL,4.5,104,6.07,14.9,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJOyfsyzdDrjsRvdyHkR74Yqs,2025-10-25 14:47:02,Harohalli,67.66538406,East,Inner,,Cluster3,No,Khadeer ali,9008436667,Cluster3,0-10 KM,3
Google Places API,GOOGLE_ChIJbTEJCsJDrjsRQtykr1q4a0U,ChIJbTEJCsJDrjsRQtykr1q4a0U,Betta Farms,lodging,HoReCa,Retailer,No,High,No,"Bengaluru - Kanakapura Road, Edumadu",12.7344387,77.4982236,077951 30207,+91 77951 30207,Not Available,OPERATIONAL,4.9,103,8.59,14.9,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJbTEJCsJDrjsRQtykr1q4a0U,2025-10-25 14:47:33,Harohalli,44.68543787,NorthEast,Inner,,Cluster2,Yes,Khadeer ali,9008436667,Cluster2,0-10 KM,2
Google Places API,GOOGLE_ChIJWUQkyH5ZrjsRIoU4P6Ps-bk,ChIJWUQkyH5ZrjsRIoU4P6Ps-bk,Paakashala Kanakapura Town,restaurant,HoReCa,Retailer,No,High,No,"Survey No: 47, Grama, Kasaba Hobli, Rayasandra",12.5920675,77.4324515,Not Available,Not Available,https://paakashala.com/,OPERATIONAL,4.1,808,9.79,14.8,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJWUQkyH5ZrjsRIoU4P6Ps-bk,2025-10-25 14:02:20,Harohalli,186.4270149,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJJREFENlDrjsReC2zAGsiD7c,ChIJJREFENlDrjsReC2zAGsiD7c,Sri Durga,restaurant,HoReCa,Retailer,No,High,No,"near K.S.R.T.C. Depo, Bangalore-kanakapura Main Road ,Hosakote, near K.S.R.T.C. Depo, Kanakapura Main Road, Harohalli",12.6968177,77.4780229,Not Available,Not Available,Not Available,OPERATIONAL,4,1242,4.3,14.8,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJJREFENlDrjsReC2zAGsiD7c,2025-10-25 14:03:08,Harohalli,63.46436339,NorthEast,Inner,,Cluster3,No,Khadeer ali,9008436667,Cluster3,0-10 KM,3
Google Places API,GOOGLE_ChIJrU8KOodDrjsR_HKSSVImq7Q,ChIJrU8KOodDrjsR_HKSSVImq7Q,Mandarathi Vaibhava,restaurant,HoReCa,Retailer,No,High,No,"QF4M+GX, gate, Kanakapura Main Road, Nettigere",12.7561773,77.4854692,088840 01211,+91 88840 01211,Not Available,OPERATIONAL,4,1576,9.71,14.8,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJrU8KOodDrjsR_HKSSVImq7Q,2025-10-25 14:10:01,Harohalli,28.64350284,NorthEast,Inner,,Cluster2,Yes,Khadeer ali,9008436667,Cluster2,0-10 KM,2
Google Places API,GOOGLE_ChIJ9-pMz3xDrjsR8r6ckQA9QUE,ChIJ9-pMz3xDrjsR8r6ckQA9QUE,Jungle Trailz Bangalore,lodging,HoReCa,Retailer,No,High,No,"105, Near Bettahalli Kaval Kaggalahalli Post, Off, Kanakapura Main Road, Gottigehalli",12.7291115,77.5176267,080 6945 5344,+91 80 6945 5344,http://jungletrailz.com/jungle-trailz-bangalore/,OPERATIONAL,4.4,3210,9.83,14.8,5000,2500,https://www.google.com/maps/place/?q=place_id:ChIJ9-pMz3xDrjsR8r6ckQA9QUE,2025-10-25 14:47:36,Harohalli,55.89966559,NorthEast,Inner,,Cluster3,Yes,Khadeer ali,9008436667,Cluster3,0-10 KM,3
Google Places API,GOOGLE_ChIJBaTZiJlDrjsRPzlxeACSSJo,ChIJBaTZiJlDrjsRPzlxeACSSJo,Dr Chandramma Dayananda Sagar institute of Medical Education and Research ಸಿ.ಡಿ.ಸೈಮರ್ CDSIMER,university,Institutional,Retailer,No,Very High,No,"DEVARAKAGGALAHALLI, HAROHALLI, Kanakapura Main Road, Kanakapura",12.6610841,77.4494629,080 2608 6500,+91 80 2608 6500,https://cdsimer.edu.in/hospital,OPERATIONAL,4.3,2710,2.18,14.8,8000,4000,https://www.google.com/maps/place/?q=place_id:ChIJBaTZiJlDrjsRPzlxeACSSJo,2025-10-25 15:03:38,Harohalli,159.9164378,South,Inner,,Cluster7,Yes,Srikantha B N,9738258828,Cluster7,0-10 KM,7
Google Places API,GOOGLE_ChIJDc1fpHZbrjsRseZ042OYolw,ChIJDc1fpHZbrjsRseZ042OYolw,Kabbalamma fish fry center,restaurant,HoReCa,Retailer,No,High,No,"J9CV+G8M, Ramanagara",12.6213259,77.3932877,063624 09500,+91 63624 09500,Not Available,OPERATIONAL,4.9,9,8.39,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJDc1fpHZbrjsRseZ042OYolw,2025-10-25 14:02:16,Harohalli,219.550719,SouthWest,Inner,,Cluster9,Yes,Rajshekhar J,9019937913,Cluster9,0-10 KM,9
Google Places API,GOOGLE_ChIJFzlHzgRbrjsRjUb2txj9eLc,ChIJFzlHzgRbrjsRjUb2txj9eLc,Prakash chicken center,restaurant,HoReCa,Retailer,No,High,No,"JCC2+HH6, Googaredoddi",12.6214227,77.4013986,Not Available,Not Available,Not Available,OPERATIONAL,5,5,7.85,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJFzlHzgRbrjsRjUb2txj9eLc,2025-10-25 14:02:16,Harohalli,214.6437077,SouthWest,Inner,,Cluster9,No,Rajshekhar J,9019937913,Cluster9,0-10 KM,9
Google Places API,GOOGLE_ChIJ-fwZiOlbrjsRshnqHxrDopg,ChIJ-fwZiOlbrjsRshnqHxrDopg,HARI HARA HOTEL,restaurant,HoReCa,Retailer,No,High,No,"YEDUVANAHALLY GATE, JAIN COLLEGE, Kanakapura Main Road",12.6406347,77.4353126,Not Available,Not Available,Not Available,OPERATIONAL,4.7,3,4.4,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJ-fwZiOlbrjsRshnqHxrDopg,2025-10-25 14:02:20,Harohalli,190.2851366,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJc5zMzKdbrjsRHTXO_M97xnU,ChIJc5zMzKdbrjsRHTXO_M97xnU,Shawarma House,restaurant,HoReCa,Retailer,No,High,No,India,12.6409096,77.4367365,Not Available,Not Available,Not Available,OPERATIONAL,5,1,4.34,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJc5zMzKdbrjsRHTXO_M97xnU,2025-10-25 14:02:21,Harohalli,188.3505893,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJW_czcgBbrjsRm4GMBy79QB8,ChIJW_czcgBbrjsRm4GMBy79QB8,"SMOKED BBQ TAXI ""ಸ್ಮೋಕ್ಡ್ ಬಿಬಿಕ್ಯೂ ಟ್ಯಾಕ್ಸಿ"" ಕನಕಪುರ",restaurant,HoReCa,Retailer,No,High,No,"Opp Jain global campus NH 209, post, Jakkasandra",12.6418991,77.4364696,Not Available,Not Available,Not Available,OPERATIONAL,5,14,4.24,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJW_czcgBbrjsRm4GMBy79QB8,2025-10-25 14:02:22,Harohalli,188.9541096,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJjaEIdwBbrjsRp-NH2fa2jhU,ChIJjaEIdwBbrjsRp-NH2fa2jhU,Jakkasandra Idli Shop,restaurant,HoReCa,Retailer,No,High,No,"JCXQ+WJ6, Kanakapura Main Road, Jakkasandra",12.6497813,77.4390221,Not Available,Not Available,Not Available,OPERATIONAL,5,1,3.33,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJjaEIdwBbrjsRp-NH2fa2jhU,2025-10-25 14:02:22,Harohalli,186.593973,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJZUZrEdtbrjsR5RePwP-MFeQ,ChIJZUZrEdtbrjsR5RePwP-MFeQ,Chicken Shop,restaurant,HoReCa,Retailer,No,High,No,"MC2Q+9MX, Kanakapura Main Road, Jakkasandra",12.6514759,77.4395746,Not Available,Not Available,Not Available,OPERATIONAL,5,1,3.14,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJZUZrEdtbrjsR5RePwP-MFeQ,2025-10-25 14:02:22,Harohalli,185.9015232,South,Inner,,Cluster8,No,Srikantha B N,9738258828,Cluster8,0-10 KM,8
Google Places API,GOOGLE_ChIJg70CPNxbrjsRDTuHVa0wjWE,ChIJg70CPNxbrjsRDTuHVa0wjWE,CINCHANNA CHICKEN CENTER,restaurant,HoReCa,Retailer,No,High,No,"No3, Chikkakalbalu ,harohallli, Bidadi",12.6529955,77.4065152,091106 18478,+91 91106 18478,Not Available,OPERATIONAL,4.5,2,4.9,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJg70CPNxbrjsRDTuHVa0wjWE,2025-10-25 14:02:24,Harohalli,232.9506648,SouthWest,Inner,,Cluster10,Yes,Vinod Kumar KJ,7483749862,Cluster10,0-10 KM,10
Google Places API,GOOGLE_ChIJPcIW0ylHrjsRV6ftnMN8njk,ChIJPcIW0ylHrjsRV6ftnMN8njk,DK Hotel,restaurant,HoReCa,Retailer,No,High,No,"P92V+P55, Dombaradoddi, Bidadi Main Road",12.7017568,77.3929799,Not Available,Not Available,Not Available,OPERATIONAL,4.7,6,5.92,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJPcIW0ylHrjsRV6ftnMN8njk,2025-10-25 14:02:45,Harohalli,294.6828582,NorthWest,Inner,,Cluster12,No,Vacant,,Cluster12,0-10 KM,12
Google Places API,GOOGLE_ChIJy6ZAhUFFrjsR495FfkMqDoU,ChIJy6ZAhUFFrjsR495FfkMqDoU,SAVIRUCHI DABA CHANDRASHEKHAR,restaurant,HoReCa,Retailer,No,High,No,"near Bar, opp. Hospital Dombaradodi, 22 1st Main 2nd Cross B, M Main Road, Bengaluru",12.7037477,77.3935979,081519 54545,+91 81519 54545,Not Available,OPERATIONAL,5,1,5.95,14.5,3000,1500,https://www.google.com/maps/place/?q=place_id:ChIJy6ZAhUFFrjsR495FfkMqDoU,2025-10-25 14:02:46,Harohalli,296.8887875,NorthWest,Inner,,Cluster12,Yes,Vacant,,Cluster12,0-10 KM,12
